Country;Meal, Inexpensive Restaurant;Meal for 2 People,  Mid-range Restaurant, Three-course;Domestic Beer  (0.5 liter draught);Gasoline  (1 liter);Apartment  (1 bedroom)  in City Centre;Apartment  (1 bedroom)  Outside of Centre;Basic  (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment;Internet  (60 Mbps or More, Unlimited Data, Cable/ADSL);Mobile Phone Monthly Plan with Calls and 10GB+ Data
Kosovo (Disputed Territory);45.96;229.79;20.68;17.31;3467.22;2526.20;942.56;224.99;114.78
Turkey;47.87;199.47;19.95;10.81;3855.58;2731.60;609.77;89.31;64.09
Guatemala;47.94;376.69;23.97;11.77;5224.90;3704.96;602.59;505.79;159.81
Bosnia And Herzegovina;52.88;282.05;17.63;16.90;2454.07;1806.47;1659.62;259.13;193.91
Iraq;53.85;236.92;21.54;5.99;3849.57;2345.71;1013.86;355.31;307.85
Uzbekistan;53.85;236.92;10.77;9.38;5278.57;3537.06;423.69;152.39;47.23
North Macedonia;55.95;223.81;18.65;15.59;2419.32;1791.09;1339.80;190.47;186.33
Oman;56.02;301.11;112.04;6.65;6083.78;4279.00;1087.80;843.42;612.73
Brazil;59.72;309.68;19.91;13.76;3439.66;2260.64;831.06;225.65;241.22
Russia;66.68;311.15;16.67;5.78;3554.27;2373.01;907.29;60.46;77.14
Jamaica;69.73;557.80;24.40;14.21;4961.90;3185.17;1291.97;488.23;202.90
Kuwait;69.75;558.00;-;3.65;9389.69;7193.88;484.56;324.34;240.02
Argentina;71.40;269.23;20.46;9.23;3036.81;2196.83;472.77;206.27;251.51
Saudi Arabia;71.78;488.09;-;6.60;5047.08;3826.85;1114.18;773.17;383.88
Mauritius;71.99;359.93;23.98;16.52;4519.29;3125.73;632.46;340.95;231.96
Japan;72.92;364.62;29.17;11.99;6550.64;4213.65;1724.13;348.96;296.56
Ukraine;73.01;292.03;11.68;15.23;3847.54;2494.90;943.76;60.55;65.67
South Korea;73.11;406.16;32.49;14.29;5404.98;3903.24;1771.45;231.93;542.43
Palestine;73.55;282.90;29.70;18.98;3260.78;2511.68;1011.70;446.24;142.51
Albania;75.22;376.11;21.49;21.30;4057.25;2718.12;949.35;176.80;164.53
Dominican Republic;76.00;474.99;28.50;13.63;5178.16;2718.31;585.41;503.67;198.14
Jordan;76.03;456.19;68.43;14.63;3374.72;2550.34;928.18;377.87;174.61
Serbia;78.39;344.69;22.54;17.64;5657.63;3877.37;1608.07;268.26;146.33
Slovakia;80.43;402.13;20.68;18.29;6029.87;4904.04;2355.92;200.48;371.11
Kazakhstan;80.64;345.61;13.82;4.98;6024.94;4161.86;559.42;130.17;107.48
Romania;80.93;385.00;18.50;17.52;4078.64;3034.98;1486.68;93.08;81.10
Azerbaijan;82.35;316.74;12.67;6.53;3594.08;2162.10;533.77;168.93;140.11
Hong Kong (China);82.58;688.15;68.81;31.19;25232.13;18235.95;2493.39;240.00;207.82
South Africa;85.23;340.93;19.89;12.98;4331.74;3471.15;1049.66;461.42;316.42
Panama;86.15;592.31;21.54;11.97;8837.31;5466.95;1014.99;501.37;337.21
Poland;86.56;395.71;29.68;16.99;7200.52;5768.73;2471.83;143.96;138.55
Bulgaria;88.14;411.34;20.57;16.43;3976.17;2950.02;1184.29;134.85;173.27
Qatar;88.65;591.02;-;6.13;17831.15;10536.54;1199.19;948.11;573.29
Czech Republic;88.88;397.64;21.05;19.44;7780.92;6239.47;3095.18;245.66;338.55
Hungary;89.87;449.33;20.97;17.30;5001.64;3957.34;1559.91;166.85;298.89
Chile;91.27;486.77;36.51;15.42;4958.28;4175.72;1349.95;269.28;133.17
Montenegro;91.92;402.13;25.28;17.20;6182.68;4560.33;1228.00;288.30;236.60
Mexico;94.68;378.71;25.25;14.48;5977.38;3818.74;682.02;326.18;266.69
United Arab Emirates;96.02;586.40;114.35;9.74;13512.43;9491.24;1815.37;1079.80;638.66
Venezuela;96.92;538.46;16.15;5.38;2194.69;1997.69;205.37;417.09;161.54
Armenia;98.18;561.01;18.23;13.66;10783.05;7163.27;1335.02;211.31;108.95
